"continent","location","date","population","new_vaccinations","rollingpeoplevaccinated","percentage_vaccinated"
"Africa","Guinea","2021-04-28","13859349","3156","897595","6.476458598452208"
"Africa","Guinea","2021-04-16","13859349","3272","876335","6.323060339991439"
"Africa","Guinea","2021-05-05","13859349","3583","952327","6.871368922162217"
"Africa","Guinea","2021-11-26","13859349","3808","637386","4.598960600530371"
"Africa","Guinea","2021-05-07","13859349","4094","975151","7.036051981950956"
"Africa","Guinea","2021-07-14","13859349","4334","1090598","7.869042045192744"
"Africa","Guinea","2021-06-03","13859349","4598","1069257","7.7150593436964465"
"Africa","Guinea","2021-07-13","13859349","5500","1086264","7.837770735118944"
"Africa","Guinea","2021-08-10","13859349","5522","1239865","8.946055114132706"
"Africa","Guinea","2021-08-12","13859349","5938","1254219","9.049624192305137"
"Africa","Guinea","2021-06-23","13859349","6377","1033273","7.455422328999724"
"Africa","Guinea","2021-08-23","13859349","6589","1336389","9.64250918279062"
"Africa","Guinea","2021-08-09","13859349","6815","1437268","10.370386083790804"
"Africa","Guinea","2021-08-17","13859349","8368","1265204","9.128884769407279"
"Africa","Guinea","2021-04-22","13859349","8388","888330","6.409608416672386"
"Africa","Guinea","2021-08-11","13859349","8416","1248281","9.006779467058662"
"Africa","Guinea","2022-02-01","13859349","8529","872541","6.2956853168211575"
"Africa","Guinea","2021-08-18","13859349","9072","1274276","9.1943423893864"
"Africa","Guinea","2021-06-08","13859349","9310","1080764","7.79808633147199"
"Africa","Guinea","2021-11-25","13859349","9909","633578","4.571484562514444"
"Africa","Guinea","2021-05-25","13859349","12000","930859","6.7164698717089815"
"Africa","Guinea","2021-05-24","13859349","12546","918859","6.629885718297447"
"Africa","Guinea","2022-01-02","13859349","13041","312559","2.255221367179656"
"Africa","Guinea","2021-07-05","13859349","13515","1234343","8.906211972871164"
"Africa","Guinea","2021-11-01","13859349","16134","622800","4.4937175620586505"
"Africa","Guinea","2021-05-26","13859349","16432","947291","6.835032439113843"
"Africa","Guinea","2022-01-24","13859349","18433","351960","2.539513219560313"
"Africa","Guinea","2021-05-06","13859349","18730","971057","7.006512354945388"
"Africa","Guinea","2021-09-24","13859349","18963","1566111","11.300032923624334"
"Africa","Guinea","2021-09-09","13859349","20296","1586407","11.44647558842771"
"Africa","Guinea","2022-01-23","13859349","20968","333527","2.4065127445740777"
"Africa","Guinea","2021-12-21","13859349","22108","662113","4.777374463980956"
"Africa","Guinea","2021-12-31","13859349","22515","864012","6.234145629783909"
"Africa","Guinea","2021-08-31","13859349","24265","1430453","10.32121349999917"
"Africa","Guinea","2021-10-27","13859349","24778","606666","4.377305167796843"
"Africa","Guinea","2021-09-20","13859349","26318","1463586","10.560279562914534"
"Africa","Guinea","2021-06-29","13859349","27580","1064659","7.681883182247594"
"Africa","Guinea","2021-10-14","13859349","27737","581888","4.198523321694259"
"Africa","Guinea","2021-12-25","13859349","30539","730841","5.273270771953286"
"Africa","Guinea","2021-12-26","13859349","34136","764977","5.519573827024631"
"Africa","Guinea","2021-12-30","13859349","34834","841497","6.071692111945517"
"Africa","Guinea","2022-01-05","13859349","36086","497023","3.5861929734217672"
"Africa","Guinea","2021-12-24","13859349","38189","700302","5.052921316867048"
"Africa","Guinea","2022-01-04","13859349","38220","460937","3.3258199934210477"
"Africa","Guinea","2021-12-29","13859349","41686","806663","5.820352745284068"
"Africa","Guinea","2021-06-22","13859349","50022","1026896","7.409410066807612"
"Africa","Guinea","2021-08-19","13859349","55524","1329800","9.59496726722157"
"Africa","Guinea","2021-10-13","13859349","57128","554151","3.9983912664296137"
"Africa","Guinea","2021-08-30","13859349","69799","1406188","10.14613312645493"
"Africa","Guinea","2022-01-03","13859349","70757","422717","3.0500494648053094"
